,ds
2022-11-07,70
2022-11-03,70
2022-11-08,67
2022-11-11,60
2022-11-09,59
2022-11-10,55
2022-11-15,53
2022-11-17,52
2022-11-16,51
2022-11-04,48
2022-11-14,41
2022-09-06,37
2022-10-25,36
2022-10-03,29
2022-09-30,28
2022-09-21,28
2022-09-22,26
2022-11-02,25
2022-10-13,23
2022-10-18,22
2022-10-14,22
2022-09-26,21
2022-10-04,21
2022-10-07,20
2022-10-19,20
2022-10-11,20
2022-10-31,19
2022-09-16,19
2022-09-02,19
2022-10-12,18
2022-09-09,18
2022-09-20,17
2022-10-21,17
2022-10-26,17
2022-10-17,17
2022-09-19,17
2022-10-10,16
2022-09-12,16
2022-09-05,15
2022-09-29,15
2022-09-27,15
2022-10-20,15
2022-10-06,14
2022-09-28,14
2022-09-08,14
2022-09-01,14
2022-10-28,12
2022-09-13,12
2022-09-14,11
2022-09-23,11
2022-09-15,10
2022-11-01,9
2022-10-08,8
2022-09-07,8
2022-10-16,7
2022-10-24,6
2022-10-27,6
2022-10-30,6
2022-10-15,6
2022-09-24,5
2022-09-25,5
2022-10-29,5
2022-09-04,4
2022-10-01,4
2022-11-06,3
2022-11-13,3
2022-09-17,3
2022-10-05,2
2022-09-03,2
2022-11-12,2
2022-10-09,2
2022-11-05,1
2022-10-02,1
2022-10-23,1
2022-09-10,1
